game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
717342,2023-07-19,San Francisco Giants,2,3,Cincinnati Reds,Cincinnati Reds,San Francisco Giants,3,2,3-2
717341,2023-07-19,Chicago White Sox,1,5,New York Mets,New York Mets,Chicago White Sox,5,1,5-1
717340,2023-07-19,Arizona Diamondbacks,5,3,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,5,3,5-3
717336,2023-07-19,Washington Nationals,3,8,Chicago Cubs,Chicago Cubs,Washington Nationals,8,3,8-3
717333,2023-07-19,Detroit Tigers,3,2,Kansas City Royals,Detroit Tigers,Kansas City Royals,3,2,3-2
717335,2023-07-19,Minnesota Twins,6,3,Seattle Mariners,Minnesota Twins,Seattle Mariners,6,3,6-3
717337,2023-07-20,Arizona Diamondbacks,5,7,Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,7,5,7-5
717334,2023-07-20,San Francisco Giants,1,5,Cincinnati Reds,Cincinnati Reds,San Francisco Giants,5,1,5-1
717329,2023-07-20,Milwaukee Brewers,4,0,Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,4,0,4-0
717331,2023-07-20,San Diego Padres,0,4,Toronto Blue Jays,Toronto Blue Jays,San Diego Padres,4,0,4-0
717330,2023-07-20,Chicago White Sox,6,2,New York Mets,Chicago White Sox,New York Mets,6,2,6-2
717332,2023-07-20,Detroit Tigers,3,0,Kansas City Royals,Detroit Tigers,Kansas City Royals,3,0,3-0
717327,2023-07-20,Minnesota Twins,0,5,Seattle Mariners,Seattle Mariners,Minnesota Twins,5,0,5-0
717328,2023-07-20,Baltimore Orioles,4,3,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,4,3,4-3
717322,2023-07-20,St. Louis Cardinals,7,2,Chicago Cubs,St. Louis Cardinals,Chicago Cubs,7,2,7-2
717323,2023-07-20,Houston Astros,3,1,Oakland Athletics,Houston Astros,Oakland Athletics,3,1,3-1
717325,2023-07-21,St. Louis Cardinals,3,4,Chicago Cubs,Chicago Cubs,St. Louis Cardinals,4,3,4-3
717317,2023-07-21,San Diego Padres,5,4,Detroit Tigers,San Diego Padres,Detroit Tigers,5,4,5-4
717320,2023-07-21,Baltimore Orioles,0,3,Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,3,0,3-0
717319,2023-07-21,Colorado Rockies,6,1,Miami Marlins,Colorado Rockies,Miami Marlins,6,1,6-1
717326,2023-07-21,San Francisco Giants,3,5,Washington Nationals,Washington Nationals,San Francisco Giants,5,3,5-3
717318,2023-07-21,Kansas City Royals,4,5,New York Yankees,New York Yankees,Kansas City Royals,5,4,5-4
717321,2023-07-21,Arizona Diamondbacks,6,9,Cincinnati Reds,Cincinnati Reds,Arizona Diamondbacks,9,6,9-6
717324,2023-07-21,New York Mets,5,4,Boston Red Sox,New York Mets,Boston Red Sox,5,4,5-4
717315,2023-07-21,Philadelphia Phillies,5,6,Cleveland Guardians,Cleveland Guardians,Philadelphia Phillies,6,5,6-5
717316,2023-07-21,Los Angeles Dodgers,11,5,Texas Rangers,Los Angeles Dodgers,Texas Rangers,11,5,11-5
717314,2023-07-21,Chicago White Sox,4,9,Minnesota Twins,Minnesota Twins,Chicago White Sox,9,4,9-4
717313,2023-07-21,Atlanta Braves,6,4,Milwaukee Brewers,Atlanta Braves,Milwaukee Brewers,6,4,6-4
717312,2023-07-21,Pittsburgh Pirates,5,8,Los Angeles Angels,Los Angeles Angels,Pittsburgh Pirates,8,5,8-5
717310,2023-07-21,Houston Astros,6,4,Oakland Athletics,Houston Astros,Oakland Athletics,6,4,6-4
717311,2023-07-21,Toronto Blue Jays,2,3,Seattle Mariners,Seattle Mariners,Toronto Blue Jays,3,2,3-2
717304,2023-07-22,Kansas City Royals,2,5,New York Yankees,New York Yankees,Kansas City Royals,5,2,5-2
717306,2023-07-22,Colorado Rockies,4,3,Miami Marlins,Colorado Rockies,Miami Marlins,4,3,4-3
717324,2023-07-21,New York Mets,5,4,Boston Red Sox,New York Mets,Boston Red Sox,5,4,5-4
717308,2023-07-22,St. Louis Cardinals,6,8,Chicago Cubs,Chicago Cubs,St. Louis Cardinals,8,6,8-6
717305,2023-07-22,Los Angeles Dodgers,16,3,Texas Rangers,Los Angeles Dodgers,Texas Rangers,16,3,16-3
717303,2023-07-22,Arizona Diamondbacks,2,4,Cincinnati Reds,Cincinnati Reds,Arizona Diamondbacks,4,2,4-2
